SITE_ID,YEAR,tsi_crust,tsi_rot,LAT_DD83,LON_DD83,ELEVATION,COLOR,NTL,PTL,CHLA,secchi,ts_group,ts
NLA17_AL-10018,2017,60.163701585165896,51.43276789202289,33.22774,-87.15637,166,31,0.321,14.78625,9.2,2.1,ncp_ts,dys
NLA17_AL-10018,2017,60.163701585165896,51.43276789202289,33.22774,-87.15637,166,31,0.321,14.78625,9.2,2.1,chla_ts,eutro
NLA17_AL-10018,2017,60.163701585165896,51.43276789202289,33.22774,-87.15637,166,31,0.321,14.78625,9.2,2.1,ptl_ts,meso
NLA17_AL-10018,2017,60.163701585165896,51.43276789202289,33.22774,-87.15637,166,31,0.321,14.78625,9.2,2.1,sdd_ts,meso
NLA17_AL-10018,2017,60.163701585165896,51.43276789202289,33.22774,-87.15637,166,31,0.321,14.78625,9.2,2.1,rot_ts,meso-eutro
NLA17_AL-10018,2017,60.163701585165896,51.43276789202289,33.22774,-87.15637,166,31,0.321,14.78625,9.2,2.1,crs_ts,eutro
NLA17_AL-10020,2017,64.47450805069869,49.96634971365036,31.22256,-85.64838,89,10,0.853,17.145,13.01,2.25,ncp_ts,oligo
NLA17_AL-10020,2017,64.47450805069869,49.96634971365036,31.22256,-85.64838,89,10,0.853,17.145,13.01,2.25,chla_ts,eutro
NLA17_AL-10020,2017,64.47450805069869,49.96634971365036,31.22256,-85.64838,89,10,0.853,17.145,13.01,2.25,ptl_ts,meso
NLA17_AL-10020,2017,64.47450805069869,49.96634971365036,31.22256,-85.64838,89,10,0.853,17.145,13.01,2.25,sdd_ts,meso
NLA17_AL-10020,2017,64.47450805069869,49.96634971365036,31.22256,-85.64838,89,10,0.853,17.145,13.01,2.25,rot_ts,meso-eutro
NLA17_AL-10020,2017,64.47450805069869,49.96634971365036,31.22256,-85.64838,89,10,0.853,17.145,13.01,2.25,crs_ts,eutro
NLA17_AL-HP001,2017,61.734730106497935,51.50061242286747,33.28949519,-87.68596227,68.28,9,0.275,24.72715,7.15,2.4,ncp_ts,oligo
NLA17_AL-HP001,2017,61.734730106497935,51.50061242286747,33.28949519,-87.68596227,68.28,9,0.275,24.72715,7.15,2.4,chla_ts,meso
NLA17_AL-HP001,2017,61.734730106497935,51.50061242286747,33.28949519,-87.68596227,68.28,9,0.275,24.72715,7.15,2.4,ptl_ts,eutro
NLA17_AL-HP001,2017,61.734730106497935,51.50061242286747,33.28949519,-87.68596227,68.28,9,0.275,24.72715,7.15,2.4,sdd_ts,meso
NLA17_AL-HP001,2017,61.734730106497935,51.50061242286747,33.28949519,-87.68596227,68.28,9,0.275,24.72715,7.15,2.4,rot_ts,meso-eutro
NLA17_AL-HP001,2017,61.734730106497935,51.50061242286747,33.28949519,-87.68596227,68.28,9,0.275,24.72715,7.15,2.4,crs_ts,eutro
NLA17_AR-10001,2017,67.16288416342351,57.10601322150473,34.53937,-92.27375,73,60,0.7969999999999999,67.7225,33.445,0.7575000000000001,ncp_ts,mixo
NLA17_AR-10001,2017,67.16288416342351,57.10601322150473,34.53937,-92.27375,73,60,0.7969999999999999,67.7225,33.445,0.7575000000000001,chla_ts,eutro
NLA17_AR-10001,2017,67.16288416342351,57.10601322150473,34.53937,-92.27375,73,60,0.7969999999999999,67.7225,33.445,0.7575000000000001,ptl_ts,eutro
NLA17_AR-10001,2017,67.16288416342351,57.10601322150473,34.53937,-92.27375,73,60,0.7969999999999999,67.7225,33.445,0.7575000000000001,sdd_ts,eutro
NLA17_AR-10001,2017,67.16288416342351,57.10601322150473,34.53937,-92.27375,73,60,0.7969999999999999,67.7225,33.445,0.7575000000000001,rot_ts,eutro
NLA17_AR-10001,2017,67.16288416342351,57.10601322150473,34.53937,-92.27375,73,60,0.7969999999999999,67.7225,33.445,0.7575000000000001,crs_ts,hypereu
NLA17_AR-10002,2017,60.65740807414456,52.2659985134193,34.41755,-93.07012,121,4,0.303,13.915,6.67,1.8250000000000002,ncp_ts,oligo
NLA17_AR-10002,2017,60.65740807414456,52.2659985134193,34.41755,-93.07012,121,4,0.303,13.915,6.67,1.8250000000000002,chla_ts,meso
NLA17_AR-10002,2017,60.65740807414456,52.2659985134193,34.41755,-93.07012,121,4,0.303,13.915,6.67,1.8250000000000002,ptl_ts,meso
NLA17_AR-10002,2017,60.65740807414456,52.2659985134193,34.41755,-93.07012,121,4,0.303,13.915,6.67,1.8250000000000002,sdd_ts,eutro
NLA17_AR-10002,2017,60.65740807414456,52.2659985134193,34.41755,-93.07012,121,4,0.303,13.915,6.67,1.8250000000000002,rot_ts,meso-eutro
NLA17_AR-10002,2017,60.65740807414456,52.2659985134193,34.41755,-93.07012,121,4,0.303,13.915,6.67,1.8250000000000002,crs_ts,eutro
NLA17_AR-10003,2017,68.62489666494724,55.37605735058965,33.07556,-92.6606,55,49,0.44,29.783575,14.989999999999998,1.6,ncp_ts,dys
