ts,chla_ts,crs_ts,ncp_ts,ptl_ts,rot_ts,sdd_ts
oligo,231,NA,355,198,NA,126
eutro,464,822,249,379,90,454
meso,277,NA,NA,258,NA,236
hypereu,132,210,NA,258,NA,162
oligo-meso,NA,20,NA,NA,65,NA
meso-eutro,NA,52,NA,NA,949,NA
dys,NA,NA,158,NA,NA,NA
mixo,NA,NA,312,NA,NA,NA
NA,NA,NA,30,11,NA,126
