SITE_ID,VISIT_NO,DENSITY_DIFF,TEMP_DIFF,AVG_TEMP,STRAT_FLAG,stratified
NLA17_NV-10018,1,0.1913483663148554,-0.8500000000000014,21.79390930814747,FALSE,mixed
NLA17_NV-10036,1,0.6181925250580207,-3.4271067415730307,19.059525966183575,TRUE,stratified
NLA17_ND-10011,1,0.015474030836571728,-0.09999999999999964,15.399800941006154,FALSE,mixed
NLA17_NV-10242,1,0.9395648284073559,-5.287005238130764,18.91909387863222,TRUE,stratified
NLA17_OH-10016,1,1.1407913839825596,-7.699999999999999,17.253274841869004,TRUE,stratified
NLA17_TN-10003,1,0.32744753250426584,-1.4000000000000021,23.278912757562473,TRUE,stratified
NLA17_TN-10003,2,0.593794570279897,-2.2039444267007333,27.502984836392653,TRUE,stratified
NLA17_AZ-10004,1,0.2938687711107377,-1.4981835910925696,19.795731900094847,TRUE,stratified
NLA17_MI-10011,1,0.3982670077627972,-1.6854724732949897,23.647452080411412,TRUE,stratified
NLA17_MI-10011,2,0,0,25.5,FALSE,mixed
NLA17_ND-10015,1,0.5774505975940656,-2.8974117647058826,20.758166209782136,TRUE,stratified
NLA17_CA-10064,1,0.12000095684072676,-0.5399999999999991,21.749451318386914,FALSE,mixed
NLA17_KY-10001,1,2.7484768384357494,-17.433096291691907,14.855315730424602,TRUE,stratified
NLA17_KY-10001,2,2.1773956554103506,-14.801187705086788,18.036996067976023,TRUE,stratified
NLA17_ND-10008,1,0,0,20,FALSE,mixed
NLA17_ND-10008,2,0.04501260864799406,-0.29999999999999893,15.07036354056902,FALSE,mixed
NLA17_TX-10001,1,0.23504091872860045,-0.9467663412444018,24.63322565262131,TRUE,stratified
NLA17_TX-10001,2,0.029432158481768056,-0.09999999999999787,29.192213167368113,FALSE,mixed
NLA17_KS-10005,1,2.096419141536103,-8.8,26.8575386766891,TRUE,stratified
NLA17_KS-10005,2,1.6113264790307085,-5.949999999999999,27.861273980555133,TRUE,stratified
NLA17_NV-10002,1,0.15276270708909578,-0.6999999999999993,21.27762237762238,FALSE,mixed
NLA17_NV-10002,2,0.2150542773028974,-0.9022699179757581,23.129921259842522,TRUE,stratified
NLA17_NV-10006,1,0.3968772208882001,-3.160907910322969,13.674542306815118,TRUE,stratified
NLA17_NV-10006,2,0.40306488879548397,-2.840370311304694,15.618721651945572,TRUE,stratified
NLA17_KY-10006,1,2.452856092019033,-14.46685649750376,21.773444801045745,TRUE,stratified
NLA17_TX-10019,1,0.8607611576786667,-3.259199000107863,27.34706431172244,TRUE,stratified
NLA17_TN-10004,1,2.0044508939321304,-13.414265685963816,18.572138128950257,TRUE,stratified
NLA17_MO-HP002,1,2.7073169377767954,-14.100184270616564,22.645893977082327,TRUE,stratified
NLA17_IA-HP002,1,2.5023902045196564,-13.84063572756891,23.461885427080993,TRUE,stratified
NLA17_ND-10035,1,0.04354451899621381,-0.1999999999999993,21.1909114857745,FALSE,mixed
NLA17_ND-10004,1,0.04920969591762514,-0.23000000000000043,20.79973408541499,FALSE,mixed
NLA17_GA-10002,1,1.417081246984253,-6.3912280701754405,24.468759065269943,TRUE,stratified
NLA17_KS-10001,1,1.909514672957016,-8.369312733084705,25.248323121573684,TRUE,stratified
NLA17_KS-10001,2,0.07957472419843725,-0.3000000000000007,26.084744842562433,FALSE,mixed
NLA17_SD-10020,1,0.07683129157044277,-0.34999999999999787,21.365975820379965,FALSE,mixed
NLA17_KS-10028,1,1.7360624206069133,-8.399999999999997,23.598954509177975,TRUE,stratified
NLA17_NV-10016,1,0.14402517313305907,-0.6999999999999993,20.225150966183573,FALSE,mixed
NLA17_NV-10239,1,0.08794321568370833,-0.34999999999999787,24.57801418439716,FALSE,mixed
NLA17_TX-HP003,1,0.9329244907643215,-3.5254680851063895,27.055359274223445,TRUE,stratified
NLA17_TN-10001,1,0.44377133298041826,-2.5,18.39312076988156,TRUE,stratified
NLA17_TN-10001,2,1.5006195080080715,-6.700000000000003,24.69822656532754,TRUE,stratified
NLA17_CA-10001,1,0.15592585156718997,-0.7985582592961507,18.764755541495706,TRUE,stratified
NLA17_CA-10001,2,0.008774613855507596,-0.0400000000000027,21.277305498258812,FALSE,mixed
NLA17_WV-10003,1,0.4541715923456877,-2.0973012495600294,22.015366340489752,TRUE,stratified
NLA17_WV-10003,2,0.7023666334529253,-2.758659826681736,26.155229759605966,TRUE,stratified
NLA17_ND-10006,1,0.7522660019601517,-3.984525321239609,20.36889691300609,TRUE,stratified
NLA17_MO-HP004,1,2.289828321547475,-11.901591036237388,22.770804282949126,TRUE,stratified
NLA17_TX-10017,1,1.4384732943559584,-5.91642516528465,25.81716521111605,TRUE,stratified
NLA17_UT-10013,1,0,-3.552713678800501e-15,23.700000000000003,FALSE,mixed
NLA17_AR-10001,1,1.4041204373968412,-6.20999999999999,23.601226040205702,TRUE,stratified
NLA17_AR-10001,2,1.7482130441451318,-6.716209016393435,28.332220412595003,TRUE,stratified
NLA17_NV-10124,1,0,0,24.617199514366654,FALSE,mixed
NLA17_MO-HP003,1,2.392680491035435,-14.21550206399665,17.60503645884447,TRUE,stratified
NLA17_KS-10034,1,1.2253047826612828,-5.360184413644998,24.86264838563084,TRUE,stratified
NLA17_CA-10082,1,NA,NA,NA,FALSE,mixed
NLA17_OK-10001,1,1.0758263307584457,-4.209695525373178,26.65312895813149,TRUE,stratified
NLA17_OK-10001,2,0.0637277770987339,-0.2270242718446589,27.7180526115459,FALSE,mixed
NLA17_WV-10002,1,1.2169054658324967,-5.842437136555041,23.09500469006488,TRUE,stratified
NLA17_WV-10004,1,0.32300307088110003,-1.2946075301238409,24.366287793952964,TRUE,stratified
NLA17_KS-10006,1,0,0,24.5,FALSE,mixed
NLA17_IL-10013,1,0.7180806469907566,-2.9057160342717196,25.466257597007946,TRUE,stratified
NLA17_ND-10023,1,0.04333866268837028,-0.20000000000000284,21.08494390155628,FALSE,mixed
NLA17_TX-10049,1,2.148786727075617,-9.6640174507545,26.297872715260954,TRUE,stratified
NLA17_OK-HP002,1,1.5799226325228801,-7.460062033409937,23.576819360852614,TRUE,stratified
NLA17_ND-10024,1,0.08099402534003275,-0.36999999999999744,21.3777359804946,FALSE,mixed
NLA17_CA-10003,1,0.06993405719470047,-0.3200000000000003,21.248484485795583,FALSE,mixed
NLA17_KS-10003,1,0.051637641731076656,-0.1999999999999993,25.264223669923997,FALSE,mixed
NLA17_KY-10023,1,2.859955809312737,-15.862779225290948,24.2250904336752,TRUE,stratified
NLA17_AR-10002,1,2.0016751432851834,-9.57277989285238,23.339942451063276,TRUE,stratified
NLA17_FL-10001,1,0,0,28.100000000000005,FALSE,mixed
NLA17_FL-10001,2,0,0,29.599999999999998,FALSE,mixed
NLA17_KS-10011,1,2.2821941036917224,-11.467279385722582,24.33872651037522,TRUE,stratified
NLA17_CT-10005,1,1.868546511032946,-8.453826857984598,24.831852791878173,TRUE,stratified
NLA17_CT-10005,2,0.04537823117811968,-0.20000000000000284,22.044148987232408,FALSE,mixed
NLA17_NC-10009,1,0,0,27.399999999999995,FALSE,mixed
NLA17_KY-10017,1,2.121183641555149,-9.9,25.03288847159815,TRUE,stratified
NLA17_MI-10099,1,0.3584755689444137,-1.5476145038167957,23.234020991675717,TRUE,stratified
NLA17_TX-10013,1,1.5510621682527699,-6.834148341403392,24.89677200899789,TRUE,stratified
NLA17_UT-10006,1,0.09565068753818196,-0.5800000000000001,16.486018820123054,FALSE,mixed
NLA17_UT-10006,2,0.03550804598057766,-0.3000000000000007,12.473972602739726,FALSE,mixed
NLA17_NE-10037,1,-0.005026306554327675,0.019999999999999574,24.4842654028436,FALSE,mixed
NLA17_NE-HP005,1,0.02213085868925191,-0.10000000000000142,21.410162022034996,FALSE,mixed
NLA17_OK-10011,1,0.005076357597658898,-0.019000000000001904,26.150744118711543,FALSE,mixed
NLA17_TX-HP002,1,0.1066596251204146,-0.40000000000000213,26.28111678660763,FALSE,mixed
NLA17_KY-10004,1,0.056812597608768556,-0.20000000000000284,28.097872340425535,FALSE,mixed
NLA17_KS-10004,1,0.1740773539248721,-0.6499999999999986,26.485510917653773,FALSE,mixed
NLA17_MD-10003,1,0.9163091083386234,-3.641828823350565,26.186110379346676,TRUE,stratified
NLA17_MD-10003,2,1.1714519875951055,-4.483654822335026,27.635423197492166,TRUE,stratified
NLA17_NC-10014,1,0.027543111586396662,-0.10000000000000142,27.095660749506905,FALSE,mixed
NLA17_ND-10029,1,0,0,18.7,FALSE,mixed
NLA17_TX-10011,1,0.8317174146485513,-3.0312383461212136,28.35139876097564,TRUE,stratified
NLA17_NV-10017,1,0.22196142853226775,-1.2280803801588966,17.31466878496481,TRUE,stratified
NLA17_NV-10079,1,0.004126756428149747,-0.049999999999998934,9.615104895104894,FALSE,mixed
NLA17_DE-10005,1,-0.014505462655051815,0.05000000000000071,28.670207253886012,FALSE,mixed
NLA17_TX-10008,1,0.0293437625085744,-0.10000000000000142,29.099709614292028,FALSE,mixed
NLA17_TX-10008,2,0,0,28.199999999999996,FALSE,mixed
NLA17_KS-10010,1,0.056812597608768556,-0.20000000000000284,28.09146341463415,FALSE,mixed
NLA17_NE-10032,1,0.10137866893376213,-0.45500000000000185,21.743381858902573,FALSE,mixed
NLA17_OH-10001,1,0.45439683296774547,-1.7999999999999972,25.11159429682437,TRUE,stratified
NLA17_OH-10001,2,0.022638647029680214,-0.10000000000000142,21.99944264419961,FALSE,mixed
NLA17_CA-10081,1,1.2830770717961286,-6.97951475380874,20.839194535734507,TRUE,stratified
NLA17_NE-HP004,1,0.77396936339494,-4.331865706471715,19.618988292324005,TRUE,stratified
NLA17_UT-10008,1,0.8245984979896548,-8.11392432687746,11.953352434714452,TRUE,stratified
NLA17_WI-10001,1,1.0712934382249841,-4.810685612666624,23.898751926888348,TRUE,stratified
NLA17_WI-10001,2,0.8563481812900591,-3.4681645103177132,25.737770131395436,TRUE,stratified
NLA17_NC-10005,1,1.1925016945365314,-4.800000000000001,26.358823529411765,TRUE,stratified
NLA17_MO-10001,1,0.586554258604906,-2.1999999999999957,26.84895195098355,TRUE,stratified
NLA17_MO-10001,2,0.15547984012710003,-0.6000000000000014,25.595722300140253,FALSE,mixed
NLA17_IL-HP001,1,2.3476306450299944,-10.86910142016257,25.459121233859396,TRUE,stratified
NLA17_SD-10004,1,0.010536667883002337,-0.05000000000000071,20.410837033783892,FALSE,mixed
NLA17_SD-10013,1,0,0,19,FALSE,mixed
NLA17_KS-10035,1,0.07929397997145315,-0.3000000000000007,26.073541490328846,FALSE,mixed
NLA17_ND-10012,1,0.7549190302167972,-4.523270474072524,18.63549365627835,TRUE,stratified
NLA17_ND-10090,1,0.10709191396676943,-0.5250000000000021,19.91153605015674,FALSE,mixed
NLA17_NM-10003,1,0.2544057798254471,-1.3712957863441382,18.73197326963252,TRUE,stratified
